label,raw_label,most_similar_label,cosine_similarity
safe,safe,fly,0.3362354636192322
plate,plate,tray,0.35298866033554077
necklace,necklace,gown,0.4538382291793823
croquet ball,croquet ball,,
fur coat,fur coat,,
thimble,thimble,loafer,0.32701367139816284
pajama,pajama,sarong,0.38665029406547546
running shoe,running shoe,,
cocktail shaker,cocktail shaker,,
chest,chest,ear,0.4468401372432709
manhole cover,manhole cover,,
modem,modem,laptop,0.48636671900749207
tub,tub,bathtub,0.620492696762085
tray,tray,bucket,0.39136815071105957
balance beam,balance beam,,
bagel,bagel,bakery,0.5197020173072815
prayer rug,prayer rug,,
kimono,kimono,gown,0.47717949748039246
hot pot,hot pot,,
whiskey jug,whiskey jug,,
knee pad,knee pad,,
book jacket,book jacket,,
spindle,spindle,nematode,0.33000069856643677
ski mask,ski mask,,
beer bottle,beer bottle,,
crash helmet,crash helmet,,
bottlecap,bottlecap,,
tile roof,tile roof,,
mask,mask,cloak,0.4580373167991638
maillot,maillot,ashcan,0.2856513261795044
petri dish,Petri dish,,
football helmet,football helmet,,
bathing cap,bathing cap,,
teddy bear,teddy bear,,
holster,holster,backpack,0.4852563738822937
pop bottle,pop bottle,,
photocopier,photocopier,printer,0.4442928433418274
vestment,vestment,breastplate,0.37224888801574707
crossword puzzle,crossword puzzle,,
golf ball,golf ball,,
trifle,trifle,eggnog,0.3853957951068878
suit,suit,file,0.4172622561454773
water tower,water tower,,
feather boa,feather boa,,
cloak,cloak,mask,0.4580373167991638
red wine,red wine,,
drumstick,drumstick,jackfruit,0.36153197288513184
shield,shield,missile,0.38359734416007996
christmas stocking,Christmas stocking,,
hoopskirt,hoopskirt,,
menu,menu,restaurant,0.5073494911193848
stage,stage,screen,0.3898216187953949
bonnet,bonnet,grille,0.32024064660072327
meat loaf,meat loaf,,
baseball,baseball,basketball,0.6719807386398315
face powder,face powder,,
scabbard,scabbard,breastplate,0.3967535197734833
sunscreen,sunscreen,lotion,0.5711444020271301
beer glass,beer glass,,
hen-of-the-woods,hen-of-the-woods,,
guacamole,guacamole,burrito,0.4653814435005188
lampshade,lampshade,kimono,0.433065265417099
wool,wool,cardigan,0.4384387731552124
hay,hay,corn,0.31458359956741333
bow tie,bow tie,,
mailbag,mailbag,mailbox,0.3186262845993042
water jug,water jug,,
bucket,bucket,tub,0.4831107258796692
dishrag,dishrag,maraca,0.33710238337516785
soup bowl,soup bowl,,
eggnog,eggnog,espresso,0.41871216893196106
mortar,mortar,tank,0.4128696620464325
trench coat,trench coat,,
paddle,paddle,canoe,0.4505526125431061
chain,chain,restaurant,0.4785080850124359
swab,swab,syringe,0.33506473898887634
mixing bowl,mixing bowl,,
potpie,potpie,rotisserie,0.3763272166252136
wine bottle,wine bottle,,
shoji,shoji,kimono,0.2677965760231018
bulletproof vest,bulletproof vest,,
drilling platform,drilling platform,,
binder,binder,nail,0.28378283977508545
cardigan,cardigan,sweatshirt,0.5119245648384094
sweatshirt,sweatshirt,cardigan,0.5119245648384094
pot,pot,stove,0.4584766924381256
birdhouse,birdhouse,drumstick,0.34468913078308105
hamper,hamper,clog,0.35001930594444275
ping-pong ball,ping-pong ball,,
pencil box,pencil box,,
pay-phone,pay-phone,,
consomme,consomme,eggnog,0.33135315775871277
apron,apron,sarong,0.3634087145328522
punching bag,punching bag,,
backpack,backpack,wallet,0.515920877456665
groom,groom,altar,0.29339081048965454
bearskin,bearskin,ballpoint,0.26802515983581543
pencil sharpener,pencil sharpener,,
broom,broom,shovel,0.43376320600509644
mosquito net,mosquito net,,
abaya,abaya,cloak,0.4157739281654358
mortarboard,mortarboard,miniskirt,0.30535414814949036
poncho,poncho,miniskirt,0.4067695736885071
crutch,crutch,stethoscope,0.31271082162857056
polaroid camera,Polaroid camera,,
space bar,space bar,,
cup,cup,cricket,0.4241335690021515
racket,racket,stopwatch,0.35028430819511414
traffic light,traffic light,,
quill,quill,ballpoint,0.4152018427848816
radio,radio,television,0.6789699792861938
dough,dough,spatula,0.4479367434978485
cuirass,cuirass,breastplate,0.4303586483001709
military uniform,military uniform,,
lipstick,lipstick,perfume,0.4651769697666168
shower cap,shower cap,,
monitor,monitor,screen,0.392268568277359
oscilloscope,oscilloscope,projector,0.411258339881897
mitten,mitten,mantis,0.2965528964996338
brassiere,brassiere,quilt,0.22322452068328857
french loaf,French loaf,,
vase,vase,pedestal,0.3080878257751465
milk can,milk can,,
rugby ball,rugby ball,,
paper towel,paper towel,,
earthstar,earthstar,bolete,0.40476828813552856
envelope,envelope,mailbox,0.39955881237983704
miniskirt,miniskirt,sarong,0.4456799626350403
cowboy hat,cowboy hat,,
trolleybus,trolleybus,streetcar,0.4787387549877167
perfume,perfume,lipstick,0.4651769697666168
bathtub,bathtub,tub,0.620492696762085
hotdog,hotdog,doberman,0.34352898597717285
coral fungus,coral fungus,,
bullet train,bullet train,,
pillow,pillow,handkerchief,0.40858420729637146
toilet tissue,toilet tissue,,
cassette,cassette,ipod,0.3970315754413605
carpenter's kit,carpenter's kit,,
ladle,ladle,strainer,0.4486507475376129
stinkhorn,stinkhorn,jacamar,0.4375125467777252
lotion,lotion,sunscreen,0.5711444020271301
hair spray,hair spray,,
academic gown,academic gown,,
dome,dome,teapot,0.4204450845718384
crate,crate,carton,0.431412011384964
wig,wig,sunglasses,0.5313175916671753
burrito,burrito,cheeseburger,0.4748046100139618
pill bottle,pill bottle,,
chain mail,chain mail,,
theater curtain,theater curtain,,
window shade,window shade,,
barrel,barrel,crate,0.3504717946052551
washbasin,washbasin,basenji,0.3027428090572357
ballpoint,ballpoint,quill,0.4152018427848816
basketball,basketball,baseball,0.6719807386398315
bath towel,bath towel,,
cowboy boot,cowboy boot,,
gown,gown,kimono,0.47717949748039246
window screen,window screen,,
agaric,agaric,harvestman,0.4147345721721649
cellular telephone,cellular telephone,,
nipple,nipple,drumstick,0.3490683138370514
barbell,barbell,dumbbell,0.3781876266002655
mailbox,mailbox,wallet,0.45298460125923157
lab coat,lab coat,,
fire screen,fire screen,,
minibus,minibus,minivan,0.5100175738334656
packet,packet,mailbox,0.2881847620010376
maze,maze,ant,0.22589537501335144
pole,pole,vault,0.4689103662967682
horizontal bar,horizontal bar,,
sombrero,sombrero,poncho,0.38550347089767456
pickelhaube,pickelhaube,,
rain barrel,rain barrel,,
wallet,wallet,purse,0.5210111141204834
cassette player,cassette player,,
comic book,comic book,,
piggy bank,piggy bank,,
street sign,street sign,,
bell cote,bell cote,,
fountain pen,fountain pen,,
windsor tie,Windsor tie,,
volleyball,volleyball,basketball,0.6496630311012268
overskirt,overskirt,,
sarong,sarong,kimono,0.47601327300071716
purse,purse,wallet,0.5210111141204834
bolo tie,bolo tie,,
bib,bib,miniskirt,0.3204706609249115
parachute,parachute,balloon,0.44706180691719055
sleeping bag,sleeping bag,,
television,television,radio,0.6789699792861938
swimming trunks,swimming trunks,,
measuring cup,measuring cup,,
espresso,espresso,eggnog,0.41871216893196106
pizza,pizza,restaurant,0.5644435882568359
breastplate,breastplate,cuirass,0.4303586483001709
shopping basket,shopping basket,,
wooden spoon,wooden spoon,,
saltshaker,saltshaker,,
chocolate sauce,chocolate sauce,,
ballplayer,ballplayer,pitcher,0.378684937953949
goblet,goblet,vase,0.28338250517845154
gyromitra,gyromitra,jacamar,0.509760856628418
stretcher,stretcher,ambulance,0.4919056296348572
water bottle,water bottle,,
dial telephone,dial telephone,,
soap dispenser,soap dispenser,,
jersey,jersey,orange,0.3535567820072174
school bus,school bus,,
jigsaw puzzle,jigsaw puzzle,,
plastic bag,plastic bag,,
reflex camera,reflex camera,,
diaper,diaper,backpack,0.35650715231895447
band aid,Band Aid,,
ice lolly,ice lolly,,
velvet,velvet,gown,0.42589664459228516
tennis ball,tennis ball,,
gasmask,gasmask,,
doormat,doormat,dishrag,0.3156778812408447
loafer,Loafer,holster,0.3696918487548828
ice cream,ice cream,,
pretzel,pretzel,dough,0.3449796438217163
quilt,quilt,gown,0.34519270062446594
maillot,maillot,ashcan,0.2856513261795044
tape player,tape player,,
clog,clog,hamper,0.35001930594444275
ipod,iPod,laptop,0.5204770565032959
bolete,bolete,stinkhorn,0.41478750109672546
scuba diver,scuba diver,,
pitcher,pitcher,baseball,0.5538486838340759
matchstick,matchstick,zucchini,0.2992776930332184
bikini,bikini,miniskirt,0.44553858041763306
sock,sock,holster,0.31581369042396545
cd player,CD player,,
lens cap,lens cap,,
thatch,thatch,patio,0.27713969349861145
vault,vault,pole,0.4689103662967682
beaker,beaker,stethoscope,0.24839526414871216
bubble,bubble,balloon,0.34184619784355164
cheeseburger,cheeseburger,burrito,0.4748046100139618
parallel bars,parallel bars,,
flagpole,flagpole,pedestal,0.446816623210907
coffee mug,coffee mug,,
rubber eraser,rubber eraser,,
stole,stole,wallet,0.36123213171958923
carbonara,carbonara,limpkin,0.3030868172645569
dumbbell,dumbbell,barbell,0.3781876266002655
